model_name,lead_time_step,variable,rmse,acc
persistence,1,z500,231.36743693706418,0.9736143458973278
persistence,1,t850,1.570142074064775,0.9492730646094015
persistence,1,t2m,2.8799543341329277,0.8357616475790985
persistence,1,u10,2.2388308067952307,0.8567060242014483
persistence,1,v10,2.502790149578378,0.8200131103026965
persistence,4,z500,596.5227605646306,0.8250873522324995
persistence,4,t850,3.1020385746128305,0.8051847219467163
persistence,4,t2m,2.1383563486997748,0.9141557669836627
persistence,4,u10,4.086227093846345,0.5203829328875896
persistence,4,v10,4.6930254550019574,0.36484230254307265
persistence,12,z500,931.2617752453513,0.5744031298259074
persistence,12,t850,4.2674426086678,0.6317608765334137
persistence,12,t2m,2.9865834043045676,0.8366336783101737
persistence,12,u10,5.099089654023982,0.2538740680483747
persistence,12,v10,5.512047334150835,0.12620349462367286
climatology,1,z500,1080.354672770855,0.0
climatology,1,t850,5.560654352519138,0.0
climatology,1,t2m,6.043722751712011,0.0
climatology,1,u10,4.221909235331638,0.0
climatology,1,v10,4.218869028012614,0.0
climatology,4,z500,1080.838230605953,0.0
climatology,4,t850,5.57983743257759,0.0
climatology,4,t2m,6.109237280758944,0.0
climatology,4,u10,4.193768895362035,0.0
climatology,4,v10,4.191665389321067,0.0
climatology,12,z500,1081.455130584969,0.0
climatology,12,t850,5.58012306591696,0.0
climatology,12,t2m,6.109195500365959,0.0
climatology,12,u10,4.194014963039682,0.0
climatology,12,v10,4.197371719297299,0.0
