model_name,lead_time_step,variable,rmse,acc
pruned_3_fp16,1,z500,,
pruned_3_fp16,1,t850,,
pruned_3_fp16,1,t2m,,
pruned_3_fp16,1,u10,,
pruned_3_fp16,1,v10,,
pruned_3_fp16,2,z500,,
pruned_3_fp16,2,t850,,
pruned_3_fp16,2,t2m,,
pruned_3_fp16,2,u10,,
pruned_3_fp16,2,v10,,
pruned_3_fp16,3,z500,,
pruned_3_fp16,3,t850,,
pruned_3_fp16,3,t2m,,
pruned_3_fp16,3,u10,,
pruned_3_fp16,3,v10,,
pruned_3_fp16,4,z500,,
pruned_3_fp16,4,t850,,
pruned_3_fp16,4,t2m,,
pruned_3_fp16,4,u10,,
pruned_3_fp16,4,v10,,
pruned_3_fp16,5,z500,,
pruned_3_fp16,5,t850,,
pruned_3_fp16,5,t2m,,
pruned_3_fp16,5,u10,,
pruned_3_fp16,5,v10,,
pruned_3_fp16,6,z500,,
pruned_3_fp16,6,t850,,
pruned_3_fp16,6,t2m,,
pruned_3_fp16,6,u10,,
pruned_3_fp16,6,v10,,
pruned_3_fp16,7,z500,,
pruned_3_fp16,7,t850,,
pruned_3_fp16,7,t2m,,
pruned_3_fp16,7,u10,,
pruned_3_fp16,7,v10,,
pruned_3_fp16,8,z500,,
pruned_3_fp16,8,t850,,
pruned_3_fp16,8,t2m,,
pruned_3_fp16,8,u10,,
pruned_3_fp16,8,v10,,
pruned_3_fp16,9,z500,,
pruned_3_fp16,9,t850,,
pruned_3_fp16,9,t2m,,
pruned_3_fp16,9,u10,,
pruned_3_fp16,9,v10,,
pruned_3_fp16,10,z500,,
pruned_3_fp16,10,t850,,
pruned_3_fp16,10,t2m,,
pruned_3_fp16,10,u10,,
pruned_3_fp16,10,v10,,
pruned_3_fp16,11,z500,,
pruned_3_fp16,11,t850,,
pruned_3_fp16,11,t2m,,
pruned_3_fp16,11,u10,,
pruned_3_fp16,11,v10,,
pruned_3_fp16,12,z500,,
pruned_3_fp16,12,t850,,
pruned_3_fp16,12,t2m,,
pruned_3_fp16,12,u10,,
pruned_3_fp16,12,v10,,
pruned_3_fp16,13,z500,,
pruned_3_fp16,13,t850,,
pruned_3_fp16,13,t2m,,
pruned_3_fp16,13,u10,,
pruned_3_fp16,13,v10,,
pruned_3_fp16,14,z500,,
pruned_3_fp16,14,t850,,
pruned_3_fp16,14,t2m,,
pruned_3_fp16,14,u10,,
pruned_3_fp16,14,v10,,
pruned_3_fp16,15,z500,,
pruned_3_fp16,15,t850,,
pruned_3_fp16,15,t2m,,
pruned_3_fp16,15,u10,,
pruned_3_fp16,15,v10,,
pruned_3_fp16,16,z500,,
pruned_3_fp16,16,t850,,
pruned_3_fp16,16,t2m,,
pruned_3_fp16,16,u10,,
pruned_3_fp16,16,v10,,
pruned_3_fp16,17,z500,,
pruned_3_fp16,17,t850,,
pruned_3_fp16,17,t2m,,
pruned_3_fp16,17,u10,,
pruned_3_fp16,17,v10,,
pruned_3_fp16,18,z500,,
pruned_3_fp16,18,t850,,
pruned_3_fp16,18,t2m,,
pruned_3_fp16,18,u10,,
pruned_3_fp16,18,v10,,
pruned_3_fp16,19,z500,,
pruned_3_fp16,19,t850,,
pruned_3_fp16,19,t2m,,
pruned_3_fp16,19,u10,,
pruned_3_fp16,19,v10,,
pruned_3_fp16,20,z500,,
pruned_3_fp16,20,t850,,
pruned_3_fp16,20,t2m,,
pruned_3_fp16,20,u10,,
pruned_3_fp16,20,v10,,
pruned_3_fp16,21,z500,,
pruned_3_fp16,21,t850,,
pruned_3_fp16,21,t2m,,
pruned_3_fp16,21,u10,,
pruned_3_fp16,21,v10,,
pruned_3_fp16,22,z500,,
pruned_3_fp16,22,t850,,
pruned_3_fp16,22,t2m,,
pruned_3_fp16,22,u10,,
pruned_3_fp16,22,v10,,
pruned_3_fp16,23,z500,,
pruned_3_fp16,23,t850,,
pruned_3_fp16,23,t2m,,
pruned_3_fp16,23,u10,,
pruned_3_fp16,23,v10,,
pruned_3_fp16,24,z500,,
pruned_3_fp16,24,t850,,
pruned_3_fp16,24,t2m,,
pruned_3_fp16,24,u10,,
pruned_3_fp16,24,v10,,
pruned_3_fp16,25,z500,,
pruned_3_fp16,25,t850,,
pruned_3_fp16,25,t2m,,
pruned_3_fp16,25,u10,,
pruned_3_fp16,25,v10,,
pruned_3_fp16,26,z500,,
pruned_3_fp16,26,t850,,
pruned_3_fp16,26,t2m,,
pruned_3_fp16,26,u10,,
pruned_3_fp16,26,v10,,
pruned_3_fp16,27,z500,,
pruned_3_fp16,27,t850,,
pruned_3_fp16,27,t2m,,
pruned_3_fp16,27,u10,,
pruned_3_fp16,27,v10,,
pruned_3_fp16,28,z500,,
pruned_3_fp16,28,t850,,
pruned_3_fp16,28,t2m,,
pruned_3_fp16,28,u10,,
pruned_3_fp16,28,v10,,
