variable,lead_time_step,model_name,acc
t2m,1,backbone_epoch_6,0.9896803601494047
t2m,1,backbone,0.9895937312914672
t2m,1,pruned_1_layers_epoch_6,0.98952967461261
t2m,2,backbone,0.9876125471551992
t2m,2,backbone_epoch_6,0.9874699701810016
t2m,2,pruned_1_layers_epoch_6,0.9871235113570144
t2m,3,backbone,0.985692531369918
t2m,3,backbone_epoch_6,0.9850022233398268
t2m,3,pruned_1_layers_epoch_6,0.984526798045835
t2m,4,backbone,0.9840956490133062
t2m,4,backbone_epoch_6,0.983035765879647
t2m,4,pruned_1_layers_epoch_6,0.9822284689162696
t2m,5,backbone,0.9817767539503854
t2m,5,backbone_epoch_6,0.9800888742814516
t2m,5,pruned_2_layers_epoch_6,0.9779712148218848
t2m,6,backbone,0.9799248985738062
t2m,6,backbone_epoch_6,0.9778201673283924
t2m,6,pruned_2_layers_epoch_6,0.9750136296842352
t2m,7,backbone,0.9774993498232112
t2m,7,backbone_epoch_6,0.9746189134080984
t2m,7,pruned_2_layers_epoch_6,0.9703197346053308
t2m,8,backbone,0.975498665311483
t2m,8,backbone_epoch_6,0.9721740554164908
t2m,8,pruned_2_layers_epoch_6,0.9638765474271508
t2m,9,backbone,0.9723972568298852
t2m,9,backbone_epoch_6,0.9682208622634078
t2m,9,pruned_4_layers_epoch_6,0.951689546334677
t2m,10,backbone,0.9700161095438056
t2m,10,backbone_epoch_6,0.965380288036176
t2m,10,pruned_4_layers_epoch_6,0.9437876700023032
t2m,11,backbone,0.9662973497832954
t2m,11,backbone_epoch_6,0.9608190006383972
t2m,11,pruned_4_layers_epoch_6,0.9300473702020484
t2m,12,backbone,0.96347753961659
t2m,12,backbone_epoch_6,0.957572759196745
t2m,12,pruned_4_layers_epoch_6,0.9157308986067106
t2m,13,backbone,0.958906711812792
t2m,13,backbone_epoch_6,0.9521214818821272
t2m,13,pruned_4_layers_epoch_6,0.8939012888423558
t2m,14,backbone,0.9556616075212064
t2m,14,backbone_epoch_6,0.948469786337634
t2m,14,pruned_4_layers_epoch_6,0.8734230562295328
t2m,15,backbone,0.9503897148803626
t2m,15,backbone_epoch_6,0.9423830688998686
t2m,15,pruned_4_layers_epoch_6,0.8456707789911239
t2m,16,backbone,0.946792937190839
t2m,16,backbone_epoch_6,0.9384082485843636
t2m,16,pruned_4_layers_epoch_6,0.8225323144950014
t2m,17,backbone,0.9408257820086772
t2m,17,backbone_epoch_6,0.9316223340327512
t2m,17,pruned_4_layers_epoch_6,0.7929053176714721
t2m,18,backbone,0.936862801040351
t2m,18,backbone_epoch_6,0.9273147686233734
t2m,18,pruned_4_layers_epoch_6,0.7702194865189451
t2m,19,backbone,0.9302825741261744
t2m,19,backbone_epoch_6,0.9198818886080268
t2m,19,pruned_4_layers_epoch_6,0.7410866837927749
t2m,20,backbone,0.9261179832772836
t2m,20,backbone_epoch_6,0.9153557396467836
t2m,20,pruned_4_layers_epoch_6,0.7205173351578207
t2m,21,backbone,0.9189112889034122
t2m,21,backbone_epoch_6,0.9074670312790896
t2m,21,pruned_4_layers_epoch_6,0.6932995111249679
t2m,22,backbone,0.9147302018863528
t2m,22,backbone_epoch_6,0.9026957397354382
t2m,22,pruned_4_layers_epoch_6,0.6748300609308914
t2m,23,backbone,0.9070690737090296
t2m,23,backbone_epoch_6,0.8938220562881598
t2m,23,pruned_4_layers_epoch_6,0.6494022504577424
t2m,24,backbone,0.9028505736223146
t2m,24,backbone_epoch_6,0.8881118437431378
t2m,24,pruned_4_layers_epoch_6,0.6330000267015489
t2m,25,backbone,0.8947017742268866
t2m,25,backbone_epoch_6,0.8772442680497409
t2m,25,pruned_4_layers_epoch_6,0.6098288720546488
t2m,26,backbone,0.8908590001766908
t2m,26,backbone_epoch_6,0.8704664537360548
t2m,26,pruned_4_layers_epoch_6,0.5949311514473494
t2m,27,backbone,0.8826795626619008
t2m,27,backbone_epoch_6,0.8582447181200848
t2m,27,pruned_4_layers_epoch_6,0.5734191638464369
t2m,28,backbone,0.8790486794610263
t2m,28,backbone_epoch_6,0.8476732579689452
t2m,28,pruned_4_layers_epoch_6,0.5604358601836519
t850,1,backbone,0.994621388406061
t850,1,backbone_epoch_6,0.9945649458043402
t850,1,pruned_1_layers_epoch_6,0.9944481117099356
t850,2,backbone,0.990961211353707
t850,2,backbone_epoch_6,0.9905567715287874
