model_name,lead_time_step,variable,rmse,acc,backbone_rmse,rmse_abs_diff,is_pruned,is_quant
backbone_fp16,1,t2m,,,0.7415462858850064,,False,True
pruned_1_fp16,1,t2m,,,0.7415462858850064,,True,True
pruned_2_fp16,1,t2m,,,0.7415462858850064,,True,True
backbone_fp16,2,t2m,,,0.8226299182662751,,False,True
pruned_1_fp16,2,t2m,,,0.8226299182662751,,True,True
pruned_2_fp16,2,t2m,,,0.8226299182662751,,True,True
backbone_fp16,3,t2m,,,0.8749871467078865,,False,True
pruned_1_fp16,3,t2m,,,0.8749871467078865,,True,True
pruned_2_fp16,3,t2m,,,0.8749871467078865,,True,True
backbone_fp16,4,t2m,,,0.9333545725438848,,False,True
pruned_1_fp16,4,t2m,,,0.9333545725438848,,True,True
pruned_2_fp16,4,t2m,,,0.9333545725438848,,True,True
backbone_fp16,5,t2m,,,0.9881911580789022,,False,True
pruned_1_fp16,5,t2m,,,0.9881911580789022,,True,True
pruned_2_fp16,5,t2m,,,0.9881911580789022,,True,True
backbone_fp16,6,t2m,,,1.04864101336655,,False,True
pruned_1_fp16,6,t2m,,,1.04864101336655,,True,True
pruned_2_fp16,6,t2m,,,1.04864101336655,,True,True
backbone_fp16,7,t2m,,,1.0967049472158847,,False,True
pruned_1_fp16,7,t2m,,,1.0967049472158847,,True,True
pruned_2_fp16,7,t2m,,,1.0967049472158847,,True,True
backbone_fp16,8,t2m,,,1.156690362445469,,False,True
pruned_1_fp16,8,t2m,,,1.156690362445469,,True,True
pruned_2_fp16,8,t2m,,,1.156690362445469,,True,True
backbone_fp16,9,t2m,,,1.2132152911671048,,False,True
pruned_1_fp16,9,t2m,,,1.2132152911671048,,True,True
pruned_2_fp16,9,t2m,,,1.2132152911671048,,True,True
backbone_fp16,10,t2m,,,1.2778140193257252,,False,True
pruned_1_fp16,10,t2m,,,1.2778140193257252,,True,True
pruned_2_fp16,10,t2m,,,1.2778140193257252,,True,True
backbone_fp16,11,t2m,,,1.33864154229617,,False,True
pruned_1_fp16,11,t2m,,,1.33864154229617,,True,True
pruned_2_fp16,11,t2m,,,1.33864154229617,,True,True
backbone_fp16,12,t2m,,,1.4080131952989037,,False,True
pruned_1_fp16,12,t2m,,,1.4080131952989037,,True,True
pruned_2_fp16,12,t2m,,,1.4080131952989037,,True,True
backbone_fp16,13,t2m,,,1.4763547801438657,,False,True
pruned_1_fp16,13,t2m,,,1.4763547801438657,,True,True
pruned_2_fp16,13,t2m,,,1.4763547801438657,,True,True
backbone_fp16,14,t2m,,,1.5495397844794077,,False,True
pruned_1_fp16,14,t2m,,,1.5495397844794077,,True,True
pruned_2_fp16,14,t2m,,,1.5495397844794077,,True,True
backbone_fp16,15,t2m,,,1.6219221293593251,,False,True
pruned_1_fp16,15,t2m,,,1.6219221293593251,,True,True
pruned_2_fp16,15,t2m,,,1.6219221293593251,,True,True
backbone_fp16,16,t2m,,,1.697380506792548,,False,True
pruned_1_fp16,16,t2m,,,1.697380506792548,,True,True
pruned_2_fp16,16,t2m,,,1.697380506792548,,True,True
backbone_fp16,17,t2m,,,1.770435988570059,,False,True
pruned_1_fp16,17,t2m,,,1.770435988570059,,True,True
pruned_2_fp16,17,t2m,,,1.770435988570059,,True,True
backbone_fp16,18,t2m,,,1.8484467454462743,,False,True
pruned_1_fp16,18,t2m,,,1.8484467454462743,,True,True
pruned_2_fp16,18,t2m,,,1.8484467454462743,,True,True
backbone_fp16,19,t2m,,,1.9226100604627383,,False,True
pruned_1_fp16,19,t2m,,,1.9226100604627383,,True,True
pruned_2_fp16,19,t2m,,,1.9226100604627383,,True,True
backbone_fp16,20,t2m,,,2.000409933441844,,False,True
pruned_1_fp16,20,t2m,,,2.000409933441844,,True,True
pruned_2_fp16,20,t2m,,,2.000409933441844,,True,True
backbone_fp16,21,t2m,,,2.0732400530543407,,False,True
pruned_1_fp16,21,t2m,,,2.0732400530543407,,True,True
pruned_2_fp16,21,t2m,,,2.0732400530543407,,True,True
backbone_fp16,22,t2m,,,2.148724086457791,,False,True
pruned_1_fp16,22,t2m,,,2.148724086457791,,True,True
pruned_2_fp16,22,t2m,,,2.148724086457791,,True,True
backbone_fp16,23,t2m,,,2.219700020118798,,False,True
pruned_1_fp16,23,t2m,,,2.219700020118798,,True,True
pruned_2_fp16,23,t2m,,,2.219700020118798,,True,True
backbone_fp16,24,t2m,,,2.293268286982062,,False,True
pruned_1_fp16,24,t2m,,,2.293268286982062,,True,True
pruned_2_fp16,24,t2m,,,2.293268286982062,,True,True
backbone_fp16,25,t2m,,,2.3614596548027165,,False,True
pruned_1_fp16,25,t2m,,,2.3614596548027165,,True,True
pruned_2_fp16,25,t2m,,,2.3614596548027165,,True,True
backbone_fp16,26,t2m,,,2.4293229832995538,,False,True
pruned_1_fp16,26,t2m,,,2.4293229832995538,,True,True
pruned_2_fp16,26,t2m,,,2.4293229832995538,,True,True
backbone_fp16,27,t2m,,,2.49280796770277,,False,True
pruned_1_fp16,27,t2m,,,2.49280796770277,,True,True
pruned_2_fp16,27,t2m,,,2.49280796770277,,True,True
backbone_fp16,28,t2m,,,2.559483763891892,,False,True
pruned_1_fp16,28,t2m,,,2.559483763891892,,True,True
pruned_2_fp16,28,t2m,,,2.559483763891892,,True,True
backbone_fp16,1,t850,,,0.51979684979556,,False,True
pruned_1_fp16,1,t850,,,0.51979684979556,,True,True
pruned_2_fp16,1,t850,,,0.51979684979556,,True,True
backbone_fp16,2,t850,,,0.6755504774647718,,False,True
pruned_1_fp16,2,t850,,,0.6755504774647718,,True,True
pruned_2_fp16,2,t850,,,0.6755504774647718,,True,True
backbone_fp16,3,t850,,,0.7336604045756037,,False,True
