model_name,6h,24h,72h
backbone,0.9901924999066573,0.9672872374177643,0.841038378590312
backbone_epoch_6,0.990088179790774,0.9649881597337776,0.8226907133390118
pruned_1_layers_epoch_6,0.9898527804033715,0.9638878460036976,0.8117336304494123
pruned_2_layers_epoch_6,0.9894152057237464,0.9614482055829224,0.8008352248362323
pruned_3_layers_epoch_6,0.988954218406251,0.9592764041277284,0.7607935587121122
pruned_4_layers_epoch_6,0.9879609426306613,0.9546729359546852,0.7641477844568604
pruned_5_layers_epoch_6,0.9863408167934952,0.9501802368537008,0.6994853016384487
pruned_6_layers_epoch_6,0.9839832746116808,0.9434824772387244,0.6979512272600356
persistence,0.82001,0.36484,0.1262
climatology,0.0,0.0,0.0
